hum,mq,ts,temp,gas_norm,rolling_mean_10,rolling_std_10,gas_diff,gas_diff_norm,hum_adjusted_gas,temp_hum,temp_gas,hum_gas
58,255,5649,21,0.20918785890073832,253.3,5.417051268394726,1.0,0.003937007719015444,402.90000000000003,1218,5355,14790
58,273,5654,21,0.2239540607054963,256.0,7.644896627451315,18.0,0.07058823252595166,431.34000000000003,1218,5733,15834
58,267,5660,21,0.21903199343724364,258.1,7.475143997124703,-6.0,-0.02197802117296626,421.86,1218,5607,15486
58,256,5665,21,0.2100082034454471,258.2,7.4356498632507275,-11.0,-0.041198500329644186,404.48,1218,5376,14848
58,267,5670,21,0.21903199343724364,260.2,6.746192341690425,11.0,0.04296874832153327,421.86,1218,5607,15486
58,255,5676,21,0.20918785890073832,260.4,6.535373831012462,-12.0,-0.04494381854143002,402.90000000000003,1218,5355,14790
58,279,5681,21,0.22887612797374898,262.1,8.812238963823365,24.0,0.09411764336793556,440.82,1218,5859,16182
58,256,5686,21,0.2100082034454471,262.0,8.88194172964786,-23.0,-0.08243727303092212,404.48,1218,5376,14848
58,252,5691,21,0.20672682526661199,261.4,9.371351141761442,-4.0,-0.015624999389648463,398.16,1218,5292,14616
58,250,5697,21,0.20508613617719443,261.0,9.797958971131251,-2.0,-0.007936507621567158,395.0,1218,5250,14500
58,249,5702,21,0.20426579163248565,260.4,10.373041983910577,-1.0,-0.003999999840000006,393.42,1218,5229,14442
58,252,5707,21,0.20672682526661199,258.3,9.638464608015736,3.0,0.012048192287221194,398.16,1218,5292,14616
58,251,5712,21,0.2059064807219032,256.7,9.357706271658621,-1.0,-0.003968253810783579,396.58000000000004,1218,5271,14558
58,247,5718,21,0.2026251025430681,255.8,9.852241707684572,-4.0,-0.01593625434516915,390.26,1218,5187,14326
58,245,5723,21,0.20098441345365053,253.6,9.524238085594279,-2.0,-0.008097165664082362,387.1,1218,5145,14210
58,244,5728,21,0.20016406890894176,252.5,9.969397619157473,-1.0,-0.00408163248646398,385.52000000000004,1218,5124,14152
58,242,5734,21,0.1985233798195242,248.8,4.289522117902525,-2.0,-0.008196720975544223,382.36,1218,5082,14036
58,242,5739,21,0.1985233798195242,247.4,3.949683531623191,0.0,0.0,382.36,1218,5082,14036
58,256,5744,21,0.2100082034454471,247.8,4.613988392796864,14.0,0.05785123727887449,404.48,1218,5376,14848
58,256,5749,21,0.2100082034454471,248.4,5.274677451958302,0.0,0.0,404.48,1218,5376,14848
59,243,5755,21,0.19596774193548386,247.8,5.533734925183669,-13.0,-0.05078124801635751,386.36999999999995,1239,5103,14337
58,251,5760,21,0.2059064807219032,247.7,5.45791983166336,8.0,0.032921809344781505,396.58000000000004,1218,5271,14558
58,249,5765,21,0.20426579163248565,247.5,5.359311730268877,-2.0,-0.007968127172584575,393.42,1218,5229,14442
58,250,5770,21,0.20508613617719443,247.8,5.411920998025023,1.0,0.004016064095740398,395.0,1218,5250,14500
58,265,5776,21,0.21739130434782608,249.8,7.539525478730012,15.0,0.0599999976000001,418.70000000000005,1218,5565,15370
59,260,5781,21,0.20967741935483872,251.4,7.862710869807958,-5.0,-0.018867923816304765,413.4,1239,5460,15340
59,250,5786,21,0.20161290322580644,252.2,7.177124153244445,-10.0,-0.03846153698224858,397.49999999999994,1239,5250,14750
58,254,5792,21,0.20836751435602954,253.4,6.221825384168569,4.0,0.015999999360000024,401.32,1218,5334,14732
58,241,5797,21,0.19770303527481542,251.9,7.248754682317385,-13.0,-0.051181100347200775,380.78000000000003,1218,5061,13978
58,243,5802,21,0.19934372436423298,250.6,7.589466384402408,2.0,0.008298754842375317,383.94,1218,5103,14094
58,242,5807,21,0.1985233798195242,250.5,7.706418681129588,-1.0,-0.004115226168097688,382.36,1218,5082,14036
58,245,5813,21,0.20098441345365053,249.9,7.89444248963767,3.0,0.012396693702615962,387.1,1218,5145,14210
58,240,5818,21,0.19688269073010664,249.0,8.498365855986485,-5.0,-0.0204081624323199,379.20000000000005,1218,5040,13920
58,243,5823,21,0.19934372436423298,248.3,8.692908987596821,3.0,0.012499999479166688,383.94,1218,5103,14094
58,246,5828,21,0.2018047579983593,246.4,6.415259585981783,3.0,0.012345678504293066,388.68,1218,5166,14268
58,241,5834,21,0.19770303527481542,244.5,4.453463071959806,-5.0,-0.02032520242580478,380.78000000000003,1218,5061,13978
58,242,5839,21,0.1985233798195242,243.7,4.056544780417468,1.0,0.004149377421187659,382.36,1218,5082,14036
58,237,5844,21,0.1944216570959803,242.0,2.538591035283514,-5.0,-0.020661156171026603,374.46000000000004,1218,4977,13746
58,247,5850,21,0.2026251025430681,242.6,2.9514591494866096,10.0,0.04219409104666282,390.26,1218,5187,14326
58,241,5855,21,0.19770303527481542,242.4,2.9888682361908385,-6.0,-0.024291496992247086,380.78000000000003,1218,5061,13978
58,241,5860,21,0.19770303527481542,242.3,3.0203016773493787,0.0,0.0,380.78000000000003,1218,5061,13978
58,242,5865,21,0.1985233798195242,242.0,2.8674417556769325,1.0,0.004149377421187659,382.36,1218,5082,14036
58,245,5871,21,0.20098441345365053,242.5,2.9154759474187326,3.0,0.012396693702615962,387.1,1218,5145,14210
58,247,5876,21,0.2026251025430681,242.9,3.24722103411847,2.0,0.00816326497292796,390.26,1218,5187,14326
58,242,5881,21,0.1985233798195242,242.5,3.0641293851379787,-5.0,-0.020242914160205905,382.36,1218,5082,14036
58,239,5887,21,0.19606234618539786,242.3,3.233505150070554,-3.0,-0.012396693702615962,377.62,1218,5019,13862
58,240,5892,21,0.19688269073010664,242.1,3.3149493041170652,1.0,0.004184100243343086,379.20000000000005,1218,5040,13920
58,240,5897,21,0.19688269073010664,242.4,2.9135697844510413,0.0,0.0,379.20000000000005,1218,5040,13920
58,239,5902,21,0.19606234618539786,241.6,2.590581230359061,-1.0,-0.004166666493055563,377.62,1218,5019,13862
58,241,5908,21,0.19770303527481542,241.6,2.590581230359061,2.0,0.008368200486686172,380.78000000000003,1218,5061,13978
58,240,5913,21,0.19688269073010664,241.5,2.6352313834693994,-1.0,-0.004149377421187659,379.20000000000005,1218,5040,13920
58,240,5918,21,0.19688269073010664,241.3,2.6687491868288986,0.0,0.0,379.20000000000005,1218,5040,13920
58,227,5923,21,0.18621821164889255,239.5,4.972144630056592,-13.0,-0.054166664409722315,358.66,1218,4767,13166
58,226,5929,21,0.18539786710418377,237.4,5.815687596682047,-1.0,-0.004405286149546866,357.08000000000004,1218,4746,13108
58,240,5934,21,0.19688269073010664,237.2,5.672545969646878,14.0,0.061946899913853985,379.20000000000005,1218,5040,13920
58,242,5939,21,0.1985233798195242,237.5,5.854722690081651,2.0,0.008333332986111126,382.36,1218,5082,14036
58,233,5945,21,0.1911402789171452,236.8,5.940445175983723,-9.0,-0.03719008110784789,368.14000000000004,1218,4893,13514
58,243,5950,21,0.19934372436423298,237.1,6.190494505465739,10.0,0.04291845309362862,383.94,1218,5103,14094
58,239,5955,21,0.19606234618539786,237.1,6.190494505465739,-4.0,-0.016460904672390753,377.62,1218,5019,13862
58,246,5960,21,0.2018047579983593,237.6,6.719788356453992,7.0,0.0292887017034016,388.68,1218,5166,14268
58,240,5966,21,0.19688269073010664,237.6,6.719788356453992,-6.0,-0.024390242910965736,379.20000000000005,1218,5040,13920
58,237,5971,21,0.1944216570959803,237.3,6.667499947921616,-3.0,-0.012499999479166688,374.46000000000004,1218,4977,13746
